,,,Annual 1992-1993,Annual 1992-1993,Annual 1992-1993,Annual 1993-1994,Annual 1993-1994,Annual 1993-1994,Annual 1994-1995,Annual 1994-1995,Annual 1994-1995,Annual 1995-1996,Annual 1995-1996,Annual 1995-1996,Annual 1996-1997,Annual 1996-1997,Annual 1996-1997,Annual 1997-1998,Annual 1997-1998,Annual 1997-1998,Annual 1998-1999,Annual 1998-1999,Annual 1998-1999,Annual 1999-2000,Annual 1999-2000,Annual 1999-2000,Annual 2000-2001,Annual 2000-2001,Annual 2000-2001,Annual 2001-2002,Annual 2001-2002,Annual 2001-2002,Annual 2002-2003,Annual 2002-2003,Annual 2002-2003,Annual 2003-2004,Annual 2003-2004,Annual 2003-2004,Annual 2004-2005,Annual 2004-2005,Annual 2004-2005,Annual 2005-2006,Annual 2005-2006,Annual 2005-2006,Annual 2006-2007,Annual 2006-2007,Annual 2006-2007,Annual 2007-2008,Annual 2007-2008,Annual 2007-2008,Annual 2008-2009,Annual 2008-2009,Annual 2008-2009,Annual 2009-2010,Annual 2009-2010,Annual 2009-2010,Annual 2010-2011,Annual 2010-2011,Annual 2010-2011,Annual 2011-2012,Annual 2011-2012,Annual 2011-2012,Annual 2012-2013,Annual 2012-2013,Annual 2012-2013,Annual 2013-2014,Annual 2013-2014,Annual 2013-2014,Annual 2014-2015,Annual 2014-2015,Annual 2014-2015,Annual 2015-2016,Annual 2015-2016,Annual 2015-2016,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023
Glendale,Grants,Chafee Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,"$5,000",15,23,"$49,731",17,23,"$60,379",6,9,"$24,464",7,12,"$27,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,Grants,Completion Grant (CCCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,684,"$506,210",,,,,,,,,,,,,,,
Glendale,Grants,EOPS Grant,292,292,"$124,671",202,202,"$98,915",348,348,"$167,905",286,286,"$170,805",613,613,"$282,878",615,615,"$265,930",621,621,"$298,895",583,583,"$311,961",576,576,"$371,073",744,744,"$429,095",481,481,"$215,786","1,070","1,306","$282,101","1,052","1,357","$199,930","1,080","1,423","$337,870","1,041","1,411","$436,323","1,065","1,448","$496,530","1,570","2,210","$741,687","1,492","2,106","$534,360",793,"1,077","$276,719",971,"1,318","$171,488","1,050","1,498","$168,598",995,"1,352","$171,054","1,223","1,702","$172,064","1,112","1,566","$516,114","1,233","1,750","$558,337","1,208","1,697","$556,483","1,585","2,500","$558,992","1,641","2,649","$561,075","1,491","2,314","$559,648","1,248","1,996","$693,975","1,261","1,993","$895,492"
Glendale,Grants,Full-time Student Success Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,085","1,757","$527,100","1,209","1,965","$589,500","1,255","2,037","$1,018,500",,,,,,,,,,,,,,,
Glendale,Grants,Other grant: California College Promise (AB19) source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976,"1,326","$493,581"
Glendale,Grants,Other grant: institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,296","2,296","$3,458,756","2,193","2,193","$3,665,052","1,902","1,904","$3,185,895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,Grants,Other grant: non-institutional source,,,,,,,,,,,,,,,,,,,,,,19,19,"$38,860",1,1,"$5,000",3,3,"$13,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,Grants,Pell Grant,"2,544","2,544","$2,626,249","1,272","1,272","$1,997,538","2,885","2,885","$4,071,423","2,949","2,949","$4,366,321","3,414","3,414","$5,270,722","3,076","3,076","$5,307,832","3,271","3,271","$6,198,686","3,262","3,262","$6,410,508","3,658","3,658","$7,741,096","4,439","4,439","$9,909,630","4,671","8,479","$10,244,421","4,510","8,366","$10,917,590","4,590","8,467","$11,160,200","4,279","7,883","$10,492,159","4,173","7,715","$10,333,782","4,603","8,356","$12,097,673","4,973","9,245","$14,631,671","6,119","12,476","$21,133,038","7,535","13,972","$24,950,651","7,473","13,515","$25,430,767","7,777","13,879","$26,066,491","7,632","13,481","$26,048,511","7,045","12,504","$24,791,866","6,607","11,828","$24,092,788","6,303","11,414","$23,077,113","6,158","11,344","$23,365,947","5,804","11,008","$23,070,714","5,884","11,625","$24,988,973","5,114","9,819","$21,823,601","4,610","8,816","$19,686,860","4,653","8,800","$20,760,364"
Glendale,Grants,SEOG (Supplemental Educational Opportunity Grant),549,549,"$187,641",171,171,"$71,850",583,583,"$158,400",296,296,"$151,500",416,416,"$187,700","1,030","1,030","$180,750",875,875,"$244,850","1,056","1,056","$348,175",891,891,"$321,454","1,389","1,389","$451,158","1,474","2,634","$523,659","1,931","3,388","$673,790","1,912","3,379","$670,686","1,808","3,158","$626,152","1,549","2,614","$515,478","1,824","3,081","$483,100",796,"1,337","$267,375",840,"1,485","$297,100",710,"1,231","$246,300",790,"1,422","$284,400",877,"1,583","$316,600",668,"1,198","$239,600",575,"1,070","$214,000","1,015","1,743","$348,600",847,"1,391","$278,200",893,"1,443","$288,400","1,491","2,616","$522,951","1,323","2,281","$456,200","2,032","3,296","$659,200","1,707","2,664","$532,800","1,654","2,412","$482,386"
Glendale,Grants,Student Success Completion Grant (SSCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958,"1,271","$1,671,608","1,242","1,914","$1,955,569","1,222","1,938","$2,184,925","1,471","2,433","$3,156,668","1,348","2,244","$6,114,395"
Glendale,Loans,Federal Direct Student Loan - subsidized,,,,,,,14,14,"$27,953",,,,,,,,,,,,,210,210,"$120,170",96,96,"$43,537",187,187,"$81,075",,,,,,,,,,159,175,"$86,180",128,142,"$62,494",,,,,,,,,,426,760,"$1,432,681",562,991,"$1,863,404",660,"1,156","$2,210,175",254,446,"$857,447",435,743,"$1,563,967",407,717,"$1,487,205",354,600,"$1,265,786",310,536,"$1,125,676",298,506,"$1,095,128",283,476,"$1,039,624",230,402,"$891,845",226,390,"$861,852",338,590,"$1,262,140"
Glendale,Loans,Federal Direct Student Loan - unsubsidized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,459,"$968,533",369,649,"$1,345,419",464,802,"$1,758,294",102,177,"$371,567",206,361,"$782,653",170,305,"$663,948",159,270,"$672,151",159,275,"$738,979",163,274,"$711,159",148,262,"$761,473",148,260,"$837,397",143,263,"$741,731",269,465,"$1,248,897"
Glendale,Loans,Other loan: non-institutional source,,,,,,,,,,,,,,,,,,,,,,,,,42,42,"$89,258",36,36,"$79,469",45,61,"$80,846",37,41,"$68,002",15,18,"$17,080",6,6,"$7,292",4,5,"$5,358",2,2,"$2,181",2,2,"$3,779",1,1,$999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,Loans,PLUS loan: parent loan for undergraduate student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,"$23,103",2,3,"$11,897",2,3,"$27,399",3,5,"$23,690",,,,1,2,"$12,446",5,9,"$43,854",3,5,"$29,551",3,5,"$18,889",4,7,"$18,878",4,8,"$32,169",2,4,"$37,924",4,7,"$68,758"
Glendale,Loans,"Stafford Loan, subsidized",10,10,"$24,744",63,63,"$167,393",152,152,"$402,313",102,102,"$273,398",102,102,"$260,981",56,56,"$130,902",58,58,"$133,276",121,121,"$289,665",135,135,"$302,145",178,178,"$442,900",227,395,"$553,136",246,417,"$628,401",237,409,"$573,399",216,353,"$513,542",196,326,"$529,467",208,337,"$681,405",222,371,"$738,430",304,532,"$1,017,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,Loans,"Stafford Loan, unsubsidized",,,,1,1,"$1,500",36,36,"$77,318",19,19,"$45,153",9,9,"$19,223",,,,2,2,"$3,321",34,34,"$76,493",54,54,"$134,372",90,90,"$228,331",119,204,"$344,005",123,213,"$344,267",127,220,"$328,783",113,188,"$303,846",113,194,"$313,530",86,148,"$205,202",109,183,"$285,392",176,305,"$532,671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,Scholarship,Scholarship: institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,88,"$66,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,Scholarship,Scholarship: non-institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,170,"$121,359",100,162,"$127,979",107,176,"$150,253",,,,,,,,,,,,,21,38,"$22,200",13,23,"$13,200",,,,,,,,,,,,,,,,,,,,,
Glendale,Scholarship,Scholarship: source unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,180,"$70,538",196,204,"$99,185",210,218,"$127,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,Work Study,EOPS Work Study,,,,,,,,,,,,,,,,,,,,,,40,40,"$20,032",3,3,"$4,360",5,5,$461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,Work Study,Federal Work Study (FWS) (Federal share),230,230,"$296,598",75,75,"$67,957",254,254,"$253,416",233,233,"$231,445",261,261,"$270,602",267,267,"$313,452",365,365,"$440,504",411,411,"$325,732",500,500,"$406,473",537,537,"$455,016",,,,,,,,,,459,866,"$806,583",497,724,"$830,832",374,565,"$711,388",266,390,"$494,019",323,479,"$636,176",272,532,"$449,155",283,543,"$492,930",260,501,"$411,866",211,400,"$330,248",241,479,"$451,957",244,479,"$558,280",275,545,"$556,290",258,508,"$585,689",210,417,"$490,957",177,349,"$482,483",36,70,"$99,525",99,155,"$415,432",104,194,"$597,098"
Glendale,Work Study,Other Work Study and matching funds,,,,,,,,,,,,,,,,,,,,,,411,411,"$114,601",434,434,"$132,990",456,456,"$146,782",503,503,"$1,625,615",461,461,"$1,569,769",423,423,"$1,523,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
